Timestamp,Class,Lat,Lon,Confidence
2026-05-10 13:20:11,uav2,46,38.6987103,-0.4734962,0.40
2026-05-10 13:20:15,uav1,46,38.6986941,-0.4735115,0.47
2026-05-10 13:20:27,uav3,5,38.6987279,-0.4734791,0.23
2026-05-10 13:20:32,uav1,46,38.6986600,-0.4734844,0.21
2026-05-10 13:20:46,uav3,12,38.6987304,-0.4734447,0.35
2026-05-10 13:20:48,uav2,7,38.6986887,-0.4734440,0.23
2026-05-10 13:20:51,uav1,7,38.6986474,-0.4734585,0.20
2026-05-10 13:20:58,uav1,7,38.6986456,-0.4734259,0.22
2026-05-10 13:21:03,uav2,46,38.6986938,-0.4734017,0.29
2026-05-10 13:21:09,uav2,12,38.6986919,-0.4733785,0.27
2026-05-10 13:21:15,uav1,46,38.6986558,-0.4733805,0.22
2026-05-10 13:21:23,uav2,12,38.6986943,-0.4733498,0.26
2026-05-10 13:21:29,uav3,5,38.6987270,-0.4733531,0.24
2026-05-10 13:21:40,uav3,5,38.6987333,-0.4733295,0.40
2026-05-10 13:21:47,uav2,46,38.6986915,-0.4733140,0.35
2026-05-10 13:21:50,uav3,5,38.6987427,-0.4733080,0.30
2026-05-10 13:22:17,uav2,12,38.6987029,-0.4732884,0.28
2026-05-10 13:22:25,uav1,46,38.6986696,-0.4732874,0.52
2026-05-10 13:22:27,uav2,27,38.6987222,-0.4732929,0.28
2026-05-10 13:22:37,uav1,7,38.6986620,-0.4733150,0.24
2026-05-10 13:22:47,uav1,7,38.6986652,-0.4733410,0.34
2026-05-10 13:23:08,uav1,46,38.6986717,-0.4733653,0.37
2026-05-10 13:23:12,uav3,12,38.6987548,-0.4733871,0.22
2026-05-10 13:23:18,uav2,12,38.6987099,-0.4733914,0.25
2026-05-10 13:23:26,uav2,12,38.6987168,-0.4734134,0.29
2026-05-10 13:23:28,uav3,7,38.6987520,-0.4734246,0.20
2026-05-10 13:29:21,uav2,46,38.6987104,-0.4734963,0.23
2026-05-10 13:29:23,uav1,46,38.6986927,-0.4735113,0.47
2026-05-10 13:29:36,uav1,46,38.6986733,-0.4734899,0.24
2026-05-10 13:29:46,uav2,12,38.6987178,-0.4734725,0.44
2026-05-10 13:29:51,uav1,7,38.6986473,-0.4734749,0.22
2026-05-10 13:29:55,uav2,5,38.6987164,-0.4734451,0.61
2026-05-10 13:29:59,uav1,0,38.6986465,-0.4734421,0.24
2026-05-10 13:30:08,uav1,0,38.6986455,-0.4734112,0.39
2026-05-10 13:30:11,uav1,46,38.6986541,-0.4733861,0.20
2026-05-10 13:30:19,uav2,0,38.6987054,-0.4733700,0.37
2026-05-10 13:30:21,uav2,7,38.6987045,-0.4733384,0.23
2026-05-10 13:30:27,uav1,17,38.6986602,-0.4733450,0.26
2026-05-10 13:30:49,uav2,0,38.6987272,-0.4732904,0.20
2026-05-10 13:30:59,uav1,46,38.6986691,-0.4732828,0.34
2026-05-10 13:31:09,uav1,12,38.6986661,-0.4733117,0.21
2026-05-10 13:31:22,uav1,12,38.6986757,-0.4733608,0.21
2026-05-10 13:31:22,uav2,12,38.6987288,-0.4733549,0.33
2026-05-10 13:31:27,uav2,12,38.6987284,-0.4733912,0.21
2026-05-10 13:31:33,uav2,0,38.6987335,-0.4734172,0.30
2026-05-10 13:31:36,uav1,57,38.6986763,-0.4733953,0.21
2026-05-10 13:31:58,uav2,27,38.6987563,-0.4734812,0.40
2026-05-10 13:31:59,uav1,27,38.6986924,-0.4734784,0.26
2026-05-10 13:32:07,uav2,0,38.6987445,-0.4734497,0.25
2026-05-10 13:32:08,uav1,0,38.6986817,-0.4734583,0.30
2026-05-10 13:32:18,uav1,46,38.6986843,-0.4734277,0.24
2026-05-10 13:32:20,uav2,12,38.6987529,-0.4734247,0.41
2026-05-10 13:32:43,uav2,12,38.6987491,-0.4733352,0.22
2026-05-10 13:32:47,uav1,7,38.6986861,-0.4733363,0.25
2026-05-10 13:32:53,uav2,12,38.6987520,-0.4733100,0.27
2026-05-10 13:32:55,uav1,28,38.6986929,-0.4733088,0.38
2026-05-10 13:32:59,uav2,12,38.6987627,-0.4732864,0.36
2026-05-10 13:33:00,uav1,27,38.6987020,-0.4732889,0.21
2026-05-10 13:33:37,uav2,27,38.6987500,-0.4733599,0.23
2026-05-10 13:33:41,uav1,46,38.6986984,-0.4733922,0.34
2026-05-10 13:33:51,uav1,5,38.6987042,-0.4734207,0.22
2026-05-10 13:34:03,uav1,12,38.6986977,-0.4734439,0.36
2026-05-10 13:44:53,uav2,46,38.6987106,-0.4734963,0.55
2026-05-10 13:44:55,uav1,46,38.6986926,-0.4735116,0.45
2026-05-10 13:45:20,uav1,46,38.6986706,-0.4734888,0.24
2026-05-10 13:45:39,uav3,46,38.6987227,-0.4734788,0.21
2026-05-10 13:45:47,uav3,5,38.6987154,-0.4734568,0.36
2026-05-10 13:45:47,uav4,5,38.6987391,-0.4734558,0.22
2026-05-10 13:45:50,uav2,7,38.6986782,-0.4734477,0.24
2026-05-10 13:45:52,uav1,7,38.6986474,-0.4734614,0.28
2026-05-10 13:46:01,uav4,5,38.6987462,-0.4734262,0.51
2026-05-10 13:46:03,uav2,7,38.6986823,-0.4734205,0.26
2026-05-10 13:46:03,uav1,0,38.6986469,-0.4734328,0.26
2026-05-10 13:46:14,uav2,12,38.6986817,-0.4733901,0.29
2026-05-10 13:46:16,uav1,7,38.6986497,-0.4733952,0.24
2026-05-10 13:46:26,uav2,12,38.6986891,-0.4733660,0.33
2026-05-10 13:46:42,uav2,12,38.6986920,-0.4733403,0.23
2026-05-10 13:46:43,uav3,0,38.6987075,-0.4733613,0.30
2026-05-10 13:46:43,uav4,5,38.6987388,-0.4733407,0.29
2026-05-10 13:46:52,uav1,17,38.6986585,-0.4733476,0.26
2026-05-10 13:46:56,uav4,12,38.6987457,-0.4733150,0.56
2026-05-10 13:47:05,uav2,46,38.6986831,-0.4733188,0.50
2026-05-10 13:47:16,uav4,5,38.6987521,-0.4732923,0.29
2026-05-10 13:47:46,uav1,27,38.6986661,-0.4732931,0.23
2026-05-10 13:47:48,uav3,0,38.6987199,-0.4732868,0.38
2026-05-10 13:48:02,uav1,7,38.6986501,-0.4733200,0.46
2026-05-10 13:48:26,uav4,12,38.6987459,-0.4733627,0.21
2026-05-10 13:48:29,uav1,7,38.6986521,-0.4733695,0.37
2026-05-10 13:48:42,uav3,12,38.6987163,-0.4733912,0.25
2026-05-10 13:48:45,uav4,0,38.6987552,-0.4733980,0.28
2026-05-10 13:48:55,uav4,7,38.6987661,-0.4734183,0.33
2026-05-10 13:48:59,uav3,0,38.6987240,-0.4734200,0.26
2026-05-10 13:49:22,uav2,12,38.6986969,-0.4734461,0.30
2026-05-10 13:49:41,uav4,27,38.6987641,-0.4734828,0.21
